               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.016664,            0.011606,           0.0028912,             0.79126,             0.64448,             0.67357,             0.40441,            0.054928,            0.011645,            0.048857,            0.008317,            0.008317,            0.008317
                  87,            0.017331,             0.01118,           0.0031874,             0.67079,             0.55543,             0.55368,             0.30415,            0.054009,            0.012033,            0.043755,           0.0082972,           0.0082972,           0.0082972
                  88,            0.017041,            0.011732,           0.0023815,             0.72411,             0.54512,             0.61416,             0.37083,            0.053948,            0.011013,            0.043884,           0.0082774,           0.0082774,           0.0082774
                  89,            0.016394,            0.011605,           0.0025679,             0.73275,             0.58976,             0.60379,             0.35255,            0.049853,            0.011047,            0.050896,           0.0082576,           0.0082576,           0.0082576
                  90,            0.016829,            0.011595,           0.0026172,              0.7856,             0.65584,             0.67934,              0.4091,            0.049967,            0.011346,            0.041096,           0.0082378,           0.0082378,           0.0082378
                  91,            0.016666,            0.012002,           0.0027528,              0.7552,             0.60482,             0.66161,             0.40529,            0.049701,            0.010607,            0.042977,            0.008218,            0.008218,            0.008218
                  92,            0.016276,            0.011112,           0.0025911,             0.66724,             0.58593,             0.61727,             0.35073,            0.052215,            0.010868,            0.040437,           0.0081982,           0.0081982,           0.0081982
                  93,            0.017038,            0.011422,            0.002588,             0.65539,             0.62089,             0.62884,             0.40817,            0.053397,             0.01136,            0.036385,           0.0081784,           0.0081784,           0.0081784
                  94,            0.016526,            0.010819,           0.0024682,             0.78146,             0.56462,             0.64865,             0.39631,            0.055167,            0.011807,            0.038846,           0.0081586,           0.0081586,           0.0081586
                  95,            0.016372,            0.011279,           0.0032623,             0.73736,              0.5872,             0.63611,             0.38444,            0.051564,            0.010788,            0.037312,           0.0081388,           0.0081388,           0.0081388
                  96,            0.016984,            0.011378,           0.0026175,             0.77247,             0.62129,             0.67424,             0.38853,            0.050043,            0.010603,            0.031659,            0.008119,            0.008119,            0.008119
                  97,            0.016827,            0.011238,           0.0025878,             0.70637,             0.66211,             0.67897,             0.41218,            0.051234,            0.010527,            0.041868,           0.0080992,           0.0080992,           0.0080992
                  98,            0.016814,            0.011632,           0.0023645,             0.77129,             0.62459,             0.65162,             0.38686,            0.050614,            0.010422,             0.04009,           0.0080794,           0.0080794,           0.0080794
                  99,            0.016606,            0.011477,            0.002876,             0.83911,             0.60124,              0.6559,             0.39911,            0.053228,            0.011041,            0.034007,           0.0080596,           0.0080596,           0.0080596
                 100,            0.016666,            0.011275,           0.0026114,              0.8305,             0.63579,             0.66259,             0.40886,             0.05179,            0.010596,            0.040374,           0.0080398,           0.0080398,           0.0080398
                 101,            0.016739,            0.011274,           0.0023458,             0.81304,             0.57978,             0.66216,             0.41487,            0.051067,            0.010624,            0.039034,             0.00802,             0.00802,             0.00802
                 102,            0.016031,            0.011113,           0.0027822,             0.88044,             0.58313,             0.68175,             0.38491,            0.052263,            0.010871,            0.042452,           0.0080002,           0.0080002,           0.0080002
